id;name;deleted;publisher_id
1;Классика в комиксах;false;1
2;Полное собрание сочинений;false;1
3;Русская классика (с ч/б и цветн.иллюстр-ми);false;1
4;Лучшая фантастика о затерянных мирах;false;1
5;Гарри Поттер;false;2
6;Хроники Нарнии;false;1
7;Миры Дианы Уинн Джонс;false;3
8;Всемирная литература;false;1
9;Вина и напитки мира;false;1
10;Проза Гузель Яхиной;false;4
11;Миры Марии Семеновой;false;5
12;Звездные войны;false;5
13;Young Adult. Фэнтези. Дочь Пожирательницы Грехов;false;6
14;Проект TRUESTORY. Книги, которые вдохновляют;false;7
15;Научпоп для всех;false;4
